id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng,receipt_id,total_cost,discount,date_time
188978561075,52,The Red Door,5034,AT,Vienna,48.215,16.376,56df62bf-f7e7-47ff-8800-475bf46262cf,17.40,0.15,2022-09-05T17:32:50.000Z
214748364857,58,A Tasty Bite,23242,FR,Paris,48.866,2.332,f3ed7e84-f3c7-46e7-b855-f6def62911bb,17.12,0.0,2021-10-01T18:53:23.000Z
266287972391,40,Crimson Cafe,70700,IT,Milan,45.473,9.191,4cbfe14a-77ab-489e-aeb8-192931ad493a,13.90,0.0,2022-09-07T07:02:40.000Z
17179869216,33,The Blue Elephant,66775,US,Hill City,43.959,-103.737,397c3559-92fc-4f4d-9bf7-3ad47cb51620,20.78,0.15,2021-10-11T19:19:32.000Z
25769803801,26,The Silver Spoon,95123,ES,Barcelona,41.401,2.209,10ef1be3-83d3-47db-a7d0-de7d71924f91,10.84,0.1,2021-10-04T09:57:45.000Z
214748364857,58,A Tasty Bite,23242,FR,Paris,48.866,2.332,140cd725-f63b-44a0-933e-26f18bc01af6,13.66,0.15,2021-10-15T20:06:53.000Z
171798691898,59,Azalea Cafe,28451,GB,London,51.515,-0.148,9cef05e6-f5c7-4a9e-8866-97b8dc17fca1,17.33,0.05,2021-10-06T16:53:54.000Z
171798691888,49,The Olive Tree,28451,FR,Paris,48.869,2.361,a49edfd8-a859-471a-886a-79ac5e404202,2.07,0.15,2021-10-20T18:08:21.000Z
171798691898,59,Azalea Cafe,28451,GB,London,51.515,-0.148,b7076235-0259-49ab-8663-b1368d746555,5.99,0.0,2022-09-08T09:46:49.000Z
94489280571,60,Big City Grill,49283,GB,London,51.524,-0.126,eeb91a45-9008-4dda-97a3-977a8ab1ceb5,29.51,0.1,2021-10-05T05:51:09.000Z
17179869216,33,The Blue Elephant,66775,US,Hill City,43.959,-103.737,7fdbca46-273c-4d70-a6f9-03df86866aab,7.51,0.15,2021-10-19T13:37:32.000Z
223338299414,23,The Hungry Pig,71667,ES,Barcelona,41.392,2.172,d164ca92-2d43-4540-9116-be56d2bf468b,10.69,0.0,2021-10-29T11:08:46.000Z
214748364806,7,Cafe Roma,23242,US,Cypress,33.832,-118.024,2abdeaa2-954f-4f5a-ad09-2d996d524102,0.07,0.15,2021-10-13T23:21:35.000Z
180388626501,70,Earth and Vine,78270,NL,Amsterdam,52.366,4.899,5ae9158e-66e3-4021-bbda-7029c0d2615e,16.29,0.0,2022-08-15T07:33:37.000Z
68719476797,62,Cafe Luminoso,44516,GB,London,51.526,-0.083,c323a92a-00ca-4386-a3cb-84f6ddc2e1f1,9.90,0.0,2021-10-29T21:48:34.000Z
214748364806,7,Cafe Roma,23242,US,Cypress,33.832,-118.024,af56d3dd-4ecf-4da5-895f-6bb2dcdc653e,10.99,0.05,2022-08-08T06:36:55.000Z
77309411383,56,The Waffle House,63415,GB,London,51.461,-0.276,0b3e204d-a0c8-470e-8d27-14f8b7d6b12a,20.25,0.15,2022-09-22T18:27:27.000Z
77309411383,56,The Waffle House,63415,GB,London,51.461,-0.276,885ffe85-3320-49a5-bc91-8f8ed227af5a,15.65,0.0,2021-10-11T03:45:43.000Z
214748364857,58,A Tasty Bite,23242,FR,Paris,48.866,2.332,02ef4bf0-7a00-4079-ac29-0b5cda49fe10,10.51,0.15,2022-07-31T21:56:15.000Z
103079215117,14,The Gourmet Garden,1670,US,Victorville,34.507,-117.326,8c24683d-5def-4704-81b5-e334781efa42,8.89,0.15,2021-10-04T10:31:54.000Z
94489280571,60,Big City Grill,49283,GB,London,51.524,-0.126,0d92a859-554d-40ea-bf1a-b5ec107a6f01,1.58,0.0,2022-09-10T22:05:35.000Z
154618822730,75,Greenhouse Cafe,69842,GB,London,51.513,-0.076,d4d3cac9-cd1a-41e3-9cb6-c7baa4a92e07,24.99,0.05,2022-08-22T09:25:04.000Z
214748364806,7,Cafe Roma,23242,US,Cypress,33.832,-118.024,a4d413c7-3e4c-4283-800f-09789e7479de,16.34,0.05,2021-10-08T08:28:51.000Z
266287972391,40,Crimson Cafe,70700,IT,Milan,45.473,9.191,99567f3d-c3d0-4ed2-b681-48688c9b3aca,21.03,0.0,2021-10-26T15:21:39.000Z
206158430219,12,The Wooden Spoon,76199,US,Abbeville,36.623,-4.501,c8ac4a8b-230f-4849-be14-f0b1a7a59bfe,24.72,0.0,2021-10-26T10:37:45.000Z
180388626501,70,Earth and Vine,78270,NL,Amsterdam,52.366,4.899,6229a764-5559-4165-b328-aa7d0ff22686,29.23,0.0,2022-09-29T03:07:04.000Z
214748364813,14,The Gourmet Garden,23242,US,Keyser,39.439,-78.971,81bdbc08-fe16-412e-9abb-f32c6473e4ba,2.75,0.0,2021-10-02T08:26:37.000Z
137438953479,8,The Green Olive,17484,US,Kingsport,36.563,-82.566,ca7cdbe8-e106-4b66-a788-58cc364d3cf8,9.80,0.0,2021-10-24T19:58:26.000Z
120259084341,54,The Spice House,40542,GB,London,51.502,-0.119,d8121dd7-d2fb-4c93-98a6-698d48dc90bb,13.82,0.0,2022-08-25T08:00:18.000Z
68719476737,2,Bella Cucina,44516,US,Pompano Beach,26.212,-80.166,cde43288-6afa-477e-9846-dafa845618c5,21.69,0.0,2021-10-12T18:19:52.000Z
68719476797,62,Cafe Luminoso,44516,GB,London,51.526,-0.083,c9ab90ef-ba50-4b60-a3ee-aa181b4a6b9d,4.55,0.15,2021-10-22T22:28:02.000Z
137438953479,8,The Green Olive,17484,US,Kingsport,36.563,-82.566,7a100385-7af8-40b8-a021-0c976ce918a8,27.69,0.05,2021-10-22T22:02:54.000Z
25769803777,2,Bella Cucina,95123,US,Fort Lauderdale,26.124,-80.331,79537bf9-cc40-418d-bc13-92dddc5fda24,23.85,0.05,2021-10-05T06:58:48.000Z
240518168591,16,The Spice Tree,73942,US,Stockton,37.937,-121.300,5b7a81e2-16b7-447b-9432-00bd2d9adb42,25.76,0.05,2022-09-03T10:06:06.000Z
